Questions,Answers
Are there blankets in summer too?,"Yes, blankets are available anytime.  "
Do you offer breakfast for children?,"Yes, on request for kids.  "
Is there a night duty staff?,"Yes, night staff is present.  "
Can I request cleaning during my stay?,"Yes, you may request cleaning.  "
Is the staff trained for emergencies?,"Yes, staff is emergency-trained.  "
Do you serve lunch on request?,"Yes, on-demand lunch is served.  "
Are towels changed every day?,"Yes, towels are replaced daily.  "
Can I get an extra pillow?,"Yes, extra pillows available.  "
Do you offer basic first-aid?,"Yes, basic first-aid is available.  "
Can I leave early in the morning?,"Yes, you can check out early.  "
Do you offer female staff for female guests?,"Yes, upon special request.  "
Can I ask for additional light in the room?,"Yes, lighting can be adjusted.  "
Is CCTV available in corridors?,"Yes, corridors are monitored.  "
Can I open windows in the room?,"Yes, windows are openable.  "
Is there a generator backup?,"Yes, power backup is present.  "
Can I pay part in cash and part online?,"Yes, we support split payments.  "
Is the receptionist available all day?,"Yes, receptionist is 24/7.  "
Do you have a space to work on laptop?,"Yes, workspace is available.  "
Can you keep my parcel at reception?,"Yes, we can hold it for you.  "
Is hot water available late at night?,"Yes, hot water is 24 hours.  "
Can I ask for non-smoking room?,"Yes, non-smoking rooms exist.  "
Do you accept Nepalese currency?,"Yes, we accept NPR cash.  "
Can you help with ride-hailing apps?,"Yes, we assist with taxis.  "
Are slippers available in the room?,"Yes, slippers are provided.  "
Do you allow guests with local ID?,"Yes, local guests are accepted.  "
Is the rooftop accessible at all times?,"Yes, rooftop is open daily.  "
Can I get toothpaste and toothbrush?,"Yes, available on request."
Do you have a parking space for bikes?,"Yes, bike parking is available.  "
Can I check-in using only my digital ID?,"Yes, digital ID is accepted.  "
Is there a prayer room in the hotel?,"Yes, we have a small prayer space.  "
Do you sanitize rooms after each guest?,"Yes, rooms are sanitized after use.  "
Can I get milk for my baby?,"Yes, we can provide milk.  "
Do you have a garden area?,"Yes, there’s a garden to relax.  "
Can I get early breakfast?,"Yes, with prior notice.  "
Is there a nearby ATM?,"Yes, an ATM is nearby.  "
Do you provide disposable slippers?,"Yes, on request.  "
Are the rooms soundproof?,"Yes, rooms are well insulated.  "
Is there a place to dry wet clothes?,"Yes, we have a drying stand.  "
Do you accept international credit cards?,"Yes, international cards accepted.  "
Can I use the lobby for meetings?,"Yes, for small meetings.  "
Is there an elevator available?,"Yes, elevator is available.  "
Do you provide a sewing kit?,"Yes, sewing kits are available.  "
Is room service 24 hours?,"Yes, round-the-clock service.  "
Can I pay via mobile wallet?,"Yes, we accept mobile wallets.  "
Do you have a smoking zone?,"Yes, there is a smoking area.  "
Is there a fan in the bathroom?,"Yes, a small fan is installed.  "
Do you provide shaving kits?,"Yes, shaving kits are available.  "
Can I get a newspaper in the morning?,"Yes, free newspaper on request.  "
Do you provide hair conditioner?,"Yes, conditioner is provided.  "
Can I bring my own bedsheet?,"Yes, you may use your own.  "
Are your rooms carpeted?,"Yes, most rooms are carpeted.  "
Do you give discounts for long stays?,"Yes, discounts are available.  "
Can I get drinking water refilled?,"Yes, water can be refilled.  "
Is there a swimming pool?,"No, we don’t have a pool.  "
Can I get a candle during power cut?,"Yes, candles are available.  "
Do you have reading lamps?,"Yes, reading lights are there.  "
Are the windows covered with curtains?,"Yes, all windows have curtains.  "
Is there a daily housekeeping service?,"Yes, rooms are cleaned daily.  "
Do you have in-house laundry?,"Yes, we offer laundry service.  "
Is hot water available in the washbasin?,"Yes, hot water is available there too.  "
Do you offer group booking rates?,"Yes, we offer group discounts.  "
Can I use the hotel phone to call taxi?,"Yes, the front desk can assist.  "
Do you provide baby cots?,"Yes, baby cots are available.  "
Is the TV connection local or international?,Both local and international channels.
Can I borrow a phone charger?,"Yes, we can lend you one.  "
Is there a fridge in every room?,"Yes, some rooms have a fridge.  "
Can I use my own electric cooker?,"No, outside cooking is not allowed.  "
Is there Wi-Fi on the rooftop?,"Yes, rooftop Wi-Fi is available.  "
Do you provide garbage bags in rooms?,"Yes, garbage bags are provided.  "
Is it possible to request a quiet room?,"Yes, we offer quiet room options.  "
Are window locks child-safe?,"Yes, window locks are safe.  "
Do you accept walk-in bookings?,"Yes, we accept walk-ins.  "
Can I request an upper floor room?,"Yes, request at check-in.  "
Is the staircase well-lit at night?,"Yes, well-lit at night.  "
Do rooms have intercom facilities?,"Yes, intercom is available.  "
Can I get fresh towels in the evening?,"Yes, towels can be replaced.  "
Do you have an ironing board?,"Yes, available on request."
Can I get toothpaste from reception?,"Yes, available on request.  "
Is your hotel pet-free?,"Yes, pets are not allowed.  "
Can I extend checkout by 1 hour?,"Yes, with minimal extra charge.  "
Do you have blankets for extra guests?,"Yes, we can arrange that.  "
Is there a place to keep my luggage after checkout?,"Yes, we offer luggage storage.  "
Are there mosquito nets in rooms?,"Yes, mosquito nets are installed.  "
Do rooms have western toilets?,"Yes, western toilets are available.  "
Can I get a birthday decoration done?,"Yes, we offer decoration services.  "
Do you provide hot water 24/7?,"Yes, hot water is 24/7.  "
Is outside food allowed?,"Yes, in designated areas.  "
Can I cancel my booking same day?,"Yes, based on cancellation policy.  "
Is breakfast included for all rooms?,Only selected rooms include breakfast.
Do you have a generator backup?,"Yes, power backup is available.  "
Are the rooms cleaned daily?,"Yes, daily housekeeping is done.  "
Can you help me book a local cab?,"Yes, we’ll assist with cab booking.  "
Can I get plain rice for my child?,"Yes, our kitchen can help.  "
Do you provide extra mattress?,"Yes, extra mattress is available.  "
Is drinking water complimentary?,"Yes, it’s complimentary.  "
Do you have a hair dryer?,"Yes, hair dryer is available.  "
Are rooms disinfected before check-in?,"Yes, full sanitization is done.  "
Do you allow guests in the room?,"Yes, with proper ID verification.  "
Can I get an extra bedsheet?,"Yes, you can request one.  "
Is there a mirror in the room?,"Yes, every room has a mirror.  "
Do you have lift access for all floors?,"Yes, lift access to all floors.  "
Can I get my clothes ironed?,"Yes, we provide ironing service.  "
Do rooms have curtains?,"Yes, curtains are in all rooms.  "
Can I take a tour package from the hotel?,"Yes, tour booking is available.  "
Is there a bellboy service?,"Yes, bellboy is at your service.  "
Can I request for extra water bottles?,"Yes, ask the reception.  "
Do you have emergency medical help?,"Yes, we help during emergencies.  "
Do you provide a bucket and mug in bathroom?,"Yes, bathroom includes both.  "
Is the reception open 24 hours?,"Yes, always open.  "
Can I charge my devices in the room?,"Yes, charging points are in rooms.  "
Are unmarried couples allowed?,"Yes, with valid ID proof.  "
Is there CCTV inside the hotel?,"Yes, common areas have CCTV.  "
Can I use Wi-Fi in all rooms?,"Yes, full Wi-Fi coverage.  "
Do you offer discount for bulk bookings?,"Yes, bulk discount is available.  "
Do you provide indoor slippers?,"Yes, on request.  "
Can I use the kitchen for baby food?,"Yes, for preparing baby food.  "
Are your rooms suitable for elderly?,"Yes, room access is easy.  "
Can I use the lounge after checkout?,"Yes, for limited hours.  "
Do you provide soap and shampoo?,"Yes, provided with room.  "
Is smoking allowed in the room?,"No, smoking is not allowed.  "
Can I check in early morning?,"Yes, early check-in possible.  "
Do you provide milk tea?,"Yes, available from our kitchen.  "
Do rooms have a study table?,"Yes, every room has one.  "
Can I store my valuables in the hotel?,"Yes, safe available at reception.  "
Is there a TV in all rooms?,"Yes, all rooms include TV.  "
Do you offer complimentary breakfast?,"Yes, with some packages.  "
Is there a charge for early check-in?,"Yes, early check-in may cost extra."
Do you allow early morning check-in?,"Yes, subject to availability.  "
Is lunch available at the hotel?,"Yes, we serve lunch.  "
Can I smoke on the balcony?,"Yes, only on balcony is allowed.  "
Do you have first aid at the hotel?,"Yes, first aid kit is available.  "
Are there ceiling fans in rooms?,"Yes, ceiling fans are installed.  "
Can I stay with my fiancée?,"Yes, with valid ID proof.  "
Is there parking for bikes?,"Yes, we have bike parking.  "
Do you provide towels?,"Yes, fresh towels are given.  "
Are there English TV channels?,"Yes, English channels are available.  "
Do you offer baby food on request?,"Yes, on request.  "
Is there an extra charge for late checkout?,"Yes, with applicable charges.  "
Can I pay using UPI or QR code?,"Yes, UPI and QR accepted.  "
Do you offer welcome drinks?,"Yes, served on arrival.  "
Are there dustbins in the room?,"Yes, dustbins are provided.  "
Do you provide room heaters?,"Yes, available in winter.  "
Can I celebrate my anniversary there?,"Yes, we can arrange that.  "
Do you have rooms with bathtub?,"Yes, in premium rooms.  "
Can I get a wake-up call?,"Yes, wake-up call available.  "
Do you allow local IDs for check-in?,"Yes, local IDs accepted.  "
Do you serve vegetarian food?,"Yes, vegetarian options available.  "
Is there a charge for room cleaning?,"No, room cleaning is free.  "
Can I get cold water at night?,"Yes, available 24/7.  "
Do you serve food in the room?,"Yes, in-room dining is available.  "
Do you allow music in the room?,"Yes, moderate music is okay.  "
Can I stay with my parents?,"Yes, parents are welcome.  "
Is the reception staff multilingual?,"Yes, staff speaks multiple languages.  "
Can I get change for big currency?,"Yes, reception can assist.  "
Do you provide a torchlight in room?,"Yes, ask at reception.  "
Are balconies available in every room?,"Yes, in most rooms.  "
Is the hotel wheelchair accessible?,"Yes, wheelchair friendly.  "
Can I get help with carrying bags?,"Yes, we assist with luggage.  "
Do you provide housekeeping at night?,"Yes, on request.  "
Are pets allowed in common areas?,"No, pets not allowed in common spaces.  "
Do you have premium room options?,"Yes, premium rooms are available.  "
Is there an intercom in the room?,"Yes, intercom is provided.  "
Do you offer honeymoon packages?,"Yes, honeymoon setups are offered.  "
Can I store baby food in your fridge?,"Yes, we can store it.  "
Are your bathrooms slip-proof?,"Yes, anti-slip mats are used.  "
Can I borrow a charger from reception?,"Yes, available on request.  "
Do you have a travel desk?,"Yes, travel desk available.  "
Is there a fridge in the room?,Only in selected rooms.
Do you have laundry detergent for guests?,"Yes, ask housekeeping.  "
Is CCTV monitored 24/7?,"Yes, monitored 24/7.  "
Do you provide dishwashing liquid in kitchenettes?,"Yes, in kitchenette rooms.  "
Can you serve Jain food?,"Yes, Jain meals available.  "
